DUPLICATE,HAWB,OVERDUE,SUM,VER,RELEASED,ALL CLEAR,LAST IMPORTED,FIRST IMPORTED,FS DEVAN,OF LOCATION,OF DEVAN,OF PIECE COUNT,PIECE COUNT DIFF,FS LOCATION,FS PIECE COUNT,FS PRIMARY LOCATION,CLIENT NAME,RELEASE DATE,CONSIGNEE
False,4913927950,False,True,False,True,False,2021-02-26 08:57:06,2021-02-26 08:57:06,2021-01-31 23:30:00,1345A,31-Jan,57,327,"R16,216AD,217D,8 (384)",384,216AD,EXPEDITORS INT'L - AIR IMPORT,2021-02-02 00:00:00,CISCO SYSTEMS INC.
False,4831218610,True,True,False,True,False,2021-04-23 10:23:05,2021-02-26 08:57:06,2021-02-01 11:36:00,1333B,1-Feb,24,-12,"R12,1333B,,1 (12)",12,1333B,EXPEDITORS INT'L - AIR IMPORT,2021-02-17 00:00:00,"OLD NAVY, LLC"
False,4831218611,False,False,False,True,False,2021-02-26 08:57:06,2021-02-26 08:57:06,2021-02-01 11:36:00,1331B,1-Feb,8,0,"R12,1331B,,1 (8)",8,1331B,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,"OLD NAVY, LLC"
False,4621185435,True,True,False,True,False,2021-03-05 00:20:44,2021-02-26 08:57:06,2020-12-01 21:42:00,1327B,12/1/2020,18,-15,"R12,1327B,,1 (3)",3,1327B,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,"OLD NAVY, LLC"
False,41C0006900,False,False,False,True,False,2021-02-26 08:57:06,2021-02-26 08:57:06,2021-01-01 10:00:00,1351F,1-Jan,20,0,"R12,1351F,,1 (20)",20,1351F,EXPEDITORS INT'L - AIR IMPORT,2021-02-25 00:00:00,THE GAP INC.
False,4913927950,False,True,False,True,False,2021-02-26 08:57:07,2021-02-26 08:57:07,2021-01-31 23:30:00,1345D,31-Jan,48,336,"R16,216AD,217D,8 (384)",384,216AD,EXPEDITORS INT'L - AIR IMPORT,2021-02-02 00:00:00,CISCO SYSTEMS INC.
False,93C950519,False,True,True,False,False,2021-02-26 08:57:07,2021-02-26 08:57:07,N.A.,1342D,11/7/20,46,-46,N.A.,0,N.A.,N.A.,0,0
False,4831218455,False,False,False,True,False,2021-02-26 08:57:07,2021-02-26 08:57:07,2021-02-01 11:36:00,1349C,1-Feb,10,0,"R12,1349C,,1 (10)",10,1349C,EXPEDITORS INT'L - AIR IMPORT,2021-02-11 00:00:00,THE GAP INC.
False,4913927950,False,True,False,True,False,2021-02-26 08:57:07,2021-02-26 08:57:07,2021-01-31 23:30:00,1345C,31-Jan,72,312,"R16,216AD,217D,8 (384)",384,216AD,EXPEDITORS INT'L - AIR IMPORT,2021-02-02 00:00:00,CISCO SYSTEMS INC.
False,416291686,False,False,False,True,False,2021-02-26 08:57:07,2021-02-26 08:57:07,2021-02-01 03:30:00,1344C,1-Feb,1,0,"R12,1333A,, (1)",1,1333A,EXPEDITORS INT'L - AIR IMPORT,2021-02-02 00:00:00,KERR CORPORATION
